00:00:00,That’s the price
00:00:03,you pay
00:00:04,Leave behind
00:00:05,"your heartache, cast away"
00:00:07,Just another product
00:00:10,of today
00:00:12,Rather be the hunter than the prey
00:00:17,"And you’re standing on the edge,"
00:00:19,face up ‘cause you’re a Natural
00:00:21,A beating heart
00:00:22,of stone
00:00:23,You gotta be so
00:00:25,cold
00:00:26,To make it in this world
00:00:29,"Yeah, you’re"
00:00:30,a natural
00:00:31,Living your life cutthroat
00:00:33,You gotta
00:00:34,be so cold
00:00:36,"Yeah,"
00:00:37,you’re a natural
00:00:39,Will somebody
00:00:41,Let me see the light within the dark trees’ shadows and 
00:00:44,What’s happenin’?
00:00:46,Lookin’ through the glass find the wrong within the past knowin’
00:00:49,We are the youth
00:00:51,"Cut until it bleeds,"
00:00:53,inside a world without the peace facing
00:00:54,"A bit of the truth,"
00:00:56,the truth
